model,n,wis,mae,coverage_50,coverage_95
arima_stat,312,769.2754157522032,1141.2923299500924,0.5256410256410257,0.8717948717948718
mist,312,942.5410504868358,1462.926253245427,0.4391025641025641,0.8557692307692307
tft,312,962.5375238384729,1518.455494342706,0.34615384615384615,0.907051282051282
patchtst,312,964.3537706239048,1496.4478464860183,0.3108974358974359,0.875
mist_no_mech,312,1003.5009885475229,1529.0410046455188,0.36217948717948717,0.8237179487179487
seir_mechanistic,312,1147.1229205572542,1468.811205481979,0.34935897435897434,0.6282051282051282
