model,Rising,Peak,Declining
arima_stat,608.8843974289929,1946.7068199696987,618.9940238019833
mist,452.1548154818954,1635.2098268393272,1045.7597881306797
mist_no_mech,506.72190300997676,1712.7863595749216,1106.596925866839
patchtst,696.7042304795168,2189.0188688559233,856.8296581327342
seir_mechanistic,1089.6142267819625,3500.114190690657,719.532042680769
tft,656.2485903014999,1915.9135548657036,926.217453415609
