model,season,phase_origin,n,wis
seasonal_naive,2024-25,Peak,76,314.7559668969299
ml,2024-25,Peak,76,398.1195185983149
ens_trimmed,2024-25,Rising,3764,252.17548627894018
stack_global,2024-25,Rising,3764,253.05631999195901
stack_phase_conformal,2024-25,Rising,3764,254.2240326918923
stack_phase,2024-25,Rising,3764,255.0598572259879
ens_perf,2024-25,Rising,3764,255.86360268283212
tft,2024-25,Rising,3764,257.78302674508257
ens_median,2024-25,Rising,3764,263.2554922445425
patchtst,2024-25,Rising,3764,268.78053575688415
ens_mean,2024-25,Rising,3764,303.9275316720037
persistence,2024-25,Rising,3764,337.5384525190172
arima,2024-25,Rising,3764,365.6196631088623
mist_v2,2024-25,Rising,3576,399.912185550423
seasonal_naive,2024-25,Rising,3764,488.614013405079
ml,2024-25,Rising,3764,753.792749105316
