model,1,2,3,4
arima,39.09454867340221,75.34578706472848,107.74131756258166,132.07644765676713
mist_no_aci,62.20700432520528,72.13056927714076,81.62997406303461,93.2295064370821
mist_no_analogue,63.927166394655984,80.36864056251213,98.5719522757827,124.62535529677108
mist_no_blend,82.68990159203337,97.26631115313009,119.03162436190676,139.37330844553125
mist_no_mech,53.80652120882496,84.40275081160648,127.75585935364622,175.50500115806443
mist_v2,54.5157336220901,72.89465569339963,92.9279560393907,118.81752867047071
patchtst,53.70647053248419,83.0796783118204,112.74152294239647,137.83753796202063
seir,95.45642185694565,112.29296873594376,126.93487272512549,137.91588267099544
tft,52.27492701983407,82.93550860385783,114.51916408562359,139.18162303286147
