model,Rising,Peak,Declining
arima,61.617350239561304,179.19851869210993,81.35499334259283
mist_no_aci,53.70119372911257,170.1022319562657,67.51855711689936
mist_no_analogue,55.39625485461503,182.17835584097128,90.52580054222436
mist_no_blend,59.08368667657287,195.9438934059917,117.76283388873611
mist_no_mech,54.14761870088231,194.80438078006773,122.47194148682415
mist_v2,51.209943973758605,152.84072565598248,87.45467808056047
patchtst,69.66571131223017,206.25731662755797,84.9030530908715
seir,104.76449883552071,308.26473385274204,76.95861078157944
tft,64.77896660126557,184.381578105002,94.25226450577274
