location,cov_50,cov_95,n
01,0.40384615384615385,0.9615384615384616,104
02,0.38461538461538464,0.9134615384615384,104
04,0.4807692307692308,0.9519230769230769,104
05,0.4519230769230769,0.9230769230769231,104
06,0.5769230769230769,0.9230769230769231,104
08,0.4519230769230769,0.9230769230769231,104
09,0.5192307692307693,0.8653846153846154,104
10,0.3942307692307692,0.8461538461538461,104
11,0.36538461538461536,0.875,104
12,0.46153846153846156,0.9423076923076923,104
13,0.4519230769230769,0.9038461538461539,104
15,0.4326923076923077,0.9230769230769231,104
16,0.46153846153846156,0.875,104
17,0.41346153846153844,0.8557692307692307,104
18,0.46153846153846156,0.9230769230769231,104
19,0.3942307692307692,0.8942307692307693,104
20,0.36538461538461536,0.8942307692307693,104
21,0.46153846153846156,0.8653846153846154,104
22,0.4326923076923077,0.9519230769230769,104
23,0.4807692307692308,0.9230769230769231,104
24,0.41346153846153844,0.8461538461538461,104
25,0.3786407766990291,0.883495145631068,103
26,0.4326923076923077,0.8269230769230769,104
27,0.4563106796116505,0.8640776699029126,103
28,0.5288461538461539,0.9134615384615384,104
29,0.34615384615384615,0.9134615384615384,104
30,0.4807692307692308,0.9134615384615384,104
31,0.41346153846153844,0.8461538461538461,104
32,0.46153846153846156,0.9519230769230769,104
33,0.36538461538461536,0.9134615384615384,104
34,0.49038461538461536,0.9038461538461539,104
35,0.4519230769230769,0.9134615384615384,104
36,0.4519230769230769,0.9423076923076923,104
37,0.5096153846153846,0.9038461538461539,104
38,0.5576923076923077,0.9038461538461539,104
39,0.38461538461538464,0.9038461538461539,104
40,0.3942307692307692,0.8557692307692307,104
41,0.5096153846153846,0.9230769230769231,104
42,0.3942307692307692,0.9326923076923077,104
44,0.5,0.9230769230769231,104
45,0.4519230769230769,0.8942307692307693,104
46,0.3269230769230769,0.875,104
47,0.38461538461538464,0.9038461538461539,104
48,0.49038461538461536,0.9903846153846154,104
49,0.5,0.9326923076923077,104
50,0.4230769230769231,0.875,104
51,0.3269230769230769,0.9326923076923077,104
53,0.5673076923076923,1.0,104
54,0.3173076923076923,0.8269230769230769,104
55,0.4423076923076923,0.8557692307692307,104
56,0.4230769230769231,0.8942307692307693,104
72,0.41346153846153844,0.9423076923076923,104
US,0.4326923076923077,0.9423076923076923,104
