season,model,n,wis,mae,cov_50,cov_95
2022-23,mist_v2,5512,144.02768096740442,166.98924575115973,0.399310595065312,0.8316400580551524
2022-23,arima,5512,245.70634449495356,270.73450068374746,0.5613207547169812,0.7042815674891146
2022-23,tft,5512,105.69922726026718,140.64018723601677,0.49655297532656023,0.8552249637155298
2022-23,patchtst,5512,91.25341382793025,125.99368064606722,0.5159651669085631,0.8671988388969522
2023-24,mist_v2,5510,84.77661694184988,122.41140059194244,0.43901996370235935,0.9052631578947369
2023-24,arima,5510,88.54873143812944,129.32737904375563,0.5431941923774954,0.8696914700544465
2023-24,tft,5510,97.21257743968314,150.99327177825077,0.34627949183303086,0.8776769509981851
2023-24,patchtst,5510,96.82642177092822,149.56885578088503,0.3366606170598911,0.8762250453720508
2024-25,mist_v2,7404,221.61189246274742,268.6253821977909,0.4091031874662345,0.9128849270664505
2024-25,arima,7402,227.15653580396452,287.8553698596564,0.5249932450689003,0.7202107538503107
2024-25,tft,7402,152.44813536727116,229.60480860184944,0.4543366657660092,0.8840853823291003
2024-25,patchtst,7402,154.45667256663273,227.65924590485716,0.5302620913266685,0.8844906781950824
