tier,mean,median,count
national,68.8564532583921,68.8564532583921,1
mid,4.368475815772084,-1.4787480140497165,25
high,3.159584821833941,-1.90517234113479,13
low,-0.8194851863396247,-1.152773494232564,13
territory,-8.638376264181904,-8.638376264181904,1
