model,n,wis,mae,cov_50,cov_95
mist_no_aci,5510,77.29348122328848,122.41140059194244,0.39600725952813065,0.8921960072595281
mist_v2,5510,84.7766169418499,122.41140059194244,0.43901996370235935,0.9052631578947369
arima,5510,88.54873143812944,129.3273790437556,0.5431941923774954,0.8696914700544465
mist_no_analogue,5510,91.86139040133634,129.5735483591061,0.45626134301270416,0.9221415607985481
patchtst,5510,96.82642177092822,149.56885578088503,0.3366606170598911,0.8762250453720508
tft,5510,97.21257743968314,150.99327177825077,0.34627949183303086,0.8776769509981851
mist_no_blend,5510,109.57947585382826,176.83944398160423,0.48729582577132485,0.9003629764065336
mist_no_mech,5510,110.3438897689611,134.525102575188,0.44918330308529947,0.9114337568058076
seir,5510,118.14286196143635,153.56966223784073,0.3274047186932849,0.6185117967332123
