date,location,location_name,value,value_weighted,num_ili,num_patients
1997-09-28,nat,NAT,1.21685666709363,1.10148255903856,570,46842
1997-10-05,nat,NAT,1.28063636174333,1.20006821669266,615,48023
1997-10-12,nat,NAT,1.23906042466476,1.37876329090199,681,54961
1997-10-19,nat,NAT,1.14473038356356,1.19919934990887,653,57044
1997-10-26,nat,NAT,1.2611249234317,1.65617782439596,700,55506
1997-11-02,nat,NAT,1.2827542986957,1.4132646790523,655,51062
1997-11-09,nat,NAT,1.44579060856615,1.98679653659039,932,64463
1997-11-16,nat,NAT,1.64796476351706,2.44749391690924,1100,66749
1997-11-23,nat,NAT,1.6751748912838,1.73900869334521,886,52890
1997-11-30,nat,NAT,1.61739360996951,1.93918764917391,1098,67887
1997-12-07,nat,NAT,1.76631764360505,2.28166200841743,1083,61314
1997-12-14,nat,NAT,2.10398373813366,2.50760628254817,1004,47719
1997-12-21,nat,NAT,3.13655041400814,4.11351694238239,1519,48429
1997-12-28,nat,NAT,3.71849502226129,5.62371997147913,1946,52333
1998-01-04,nat,NAT,3.59225322782174,4.37397957609257,2415,67228
1998-01-11,nat,NAT,3.68921895295646,4.19434105925446,2613,70828
1998-01-18,nat,NAT,4.60396477068544,5.42123497840406,3126,67898
1998-01-25,nat,NAT,4.9100701438592,5.66136567846826,3437,69999
1998-02-01,nat,NAT,4.82687160003454,5.97801530997379,3354,69486
1998-02-08,nat,NAT,3.94590030457465,4.73580104248587,2617,66322
1998-02-15,nat,NAT,3.10809732748305,3.44581175619638,1948,62675
1998-02-22,nat,NAT,2.13952561953292,2.47799343564636,1289,60247
1998-03-01,nat,NAT,1.43953767689603,1.65732101788579,827,57449
1998-03-08,nat,NAT,1.47878692024831,1.96952147076834,748,50582
1998-03-15,nat,NAT,1.0855647720314,1.58544547179502,585,53889
1998-03-22,nat,NAT,0.997967104047311,1.80474042232387,486,48699
1998-03-29,nat,NAT,0.744205384055711,1.04623964435058,358,48105
1998-04-05,nat,NAT,0.856630740939035,1.40040394193167,368,42959
1998-04-12,nat,NAT,0.621737066919791,0.796869916708698,262,42140
1998-04-19,nat,NAT,0.67095402066032,0.717097050627239,265,39496
1998-04-26,nat,NAT,0.694082037365619,1.00238051691898,266,38324
1998-05-03,nat,NAT,0.583456631584825,0.908403389352268,209,35821
1998-05-10,nat,NAT,0.577639751552795,0.443013613440555,186,32200
1998-05-17,nat,NAT,0.605215860323515,0.638986477179251,165,27263
1998-10-04,nat,NAT,0.697290528233151,1.57732655383659,490,70272
1998-10-11,nat,NAT,0.784776630519379,1.30879769279977,605,77092
1998-10-18,nat,NAT,0.902905904059041,1.41744166079288,783,86720
1998-10-25,nat,NAT,1.13792344688119,1.18271629800184,1086,95437
1998-11-01,nat,NAT,1.01550760648589,2.33431933494584,1034,101821
1998-11-08,nat,NAT,1.00090100677714,1.81576814167884,1022,102108
1998-11-15,nat,NAT,1.13894555685543,2.17974839651846,1178,103429
1998-11-22,nat,NAT,1.44937969428647,2.11240130460686,1208,83346
1998-11-29,nat,NAT,1.13908234131789,2.04853598463967,1176,103241
1998-12-06,nat,NAT,1.16023166023166,1.93248285224564,1202,103600
1998-12-13,nat,NAT,1.17126550053379,1.90468269301989,1141,97416
1998-12-20,nat,NAT,1.49061361725974,2.55982795905948,1064,71380
1998-12-27,nat,NAT,1.84288230418566,3.99107829749648,1423,77216
1999-01-03,nat,NAT,1.82390130439683,3.08581471319857,1780,97593
1999-01-10,nat,NAT,2.54353706991293,4.16382885315591,2407,94632
1999-01-17,nat,NAT,3.61581075011229,5.58049063908214,3864,106864
1999-01-24,nat,NAT,4.07912332504645,5.25328068516793,4545,111421
1999-01-31,nat,NAT,5.07759678329318,6.74667105418412,5670,111667
1999-02-07,nat,NAT,5.04884282763209,7.57188328085408,5768,114244
1999-02-14,nat,NAT,4.69331298292474,6.8728695796498,4920,104830
1999-02-21,nat,NAT,4.23423253355483,6.35097567530671,4486,105946
1999-02-28,nat,NAT,4.02362723306166,5.41098954716867,3910,97176
1999-03-07,nat,NAT,2.9934844076548,4.55008062123356,2922,97612
1999-03-14,nat,NAT,2.37758864270701,3.85915194011066,2070,87063
1999-03-21,nat,NAT,2.01715053699497,2.99600969958544,1696,84079
1999-03-28,nat,NAT,1.37688201219127,1.97814042371314,1091,79237
1999-04-04,nat,NAT,0.882829524501313,1.16887251140846,632,71588
1999-04-11,nat,NAT,0.61381074168798,1.09301610414054,396,64515
1999-04-18,nat,NAT,0.421770189718768,0.633168672255144,271,64253
1999-04-25,nat,NAT,0.61551277304702,0.639560906125773,399,64824
1999-05-02,nat,NAT,0.302287307291842,1.55530896045871,180,59546
1999-05-09,nat,NAT,0.52262313860252,0.808019590190249,292,55872
1999-05-16,nat,NAT,0.529526233066387,1.33997211663046,283,53444
1999-10-03,nat,NAT,0.977255037619995,0.831218930504669,791,80941
1999-10-10,nat,NAT,1.06706338163838,1.40444812010986,997,93434
1999-10-17,nat,NAT,0.942687764495923,1.31720562338446,1067,113187
1999-10-24,nat,NAT,1.01620895271689,1.3816083655742,1089,107163
1999-10-31,nat,NAT,1.19438865559004,1.41606594899708,1570,131448
1999-11-07,nat,NAT,1.24148947106222,1.48437739974482,1570,126461
1999-11-14,nat,NAT,1.28567541419761,1.52614127509118,1701,132304
1999-11-21,nat,NAT,1.69131826863633,1.85336049302162,1833,108377
1999-11-28,nat,NAT,1.73730591691146,2.32906925197585,2484,142980
1999-12-05,nat,NAT,2.33715460019906,2.70254083118029,3264,139657
1999-12-12,nat,NAT,2.93021927900451,3.50454049713086,4208,143607
1999-12-19,nat,NAT,4.4198517023442,5.40798903845369,5168,116927
1999-12-26,nat,NAT,5.64697730815867,7.04228382700404,6846,121233
2000-01-02,nat,NAT,5.15025106765725,6.76845599908143,7272,141197
