a,b,n,mean_diff_a_minus_b,stat,p,p_holm,p_bh
ens_trimmed,patchtst,18424,-6.620038010321332,-2.3939246928002893,0.016679108971713808,0.5539843987150729,0.025296648607099275
ens_perf,ml,18424,-130.60158274677832,-2.336486446780818,0.019476565538691804,0.6037735316994459,0.029055204328212365
ml,stack_global,18424,134.21844658205842,2.323901823517046,0.020141577863697212,0.6042473359109164,0.029562638477362034
ml,persistence,18424,128.49150386003436,2.300612100741395,0.021424681762877103,0.621315771123436,0.03094676254637804
ml,stack_phase_conformal,18424,132.0736942315505,2.2872153538698687,0.022194540396634963,0.621447131105779,0.03155786212646534
ml,stack_phase,18424,131.59001038558006,2.277527271003343,0.022766164020440103,0.621447131105779,0.031872629628616145
stack_global,tft,18424,26.689476385438056,2.2524096544046475,0.024308117093500024,0.6320110444310006,0.033515737204674274
ens_mean,ens_median,18432,15.948039855916882,2.0168814542119677,0.043722357951802196,1.0,0.05938409811364179
arima,seasonal_naive,18424,-31.171962964925296,-1.9036247413340646,0.05697464138652526,1.0,0.0762454759731441
patchtst,tft,18424,-3.630365231448486,-1.8427107734395158,0.06538730687926318,1.0,0.08623543371033261
ens_mean,ens_perf,18432,-21.17592649198589,-1.6415105356982265,0.10070854346236906,1.0,0.13092110650107977
arima,ml,18424,-91.59762016889489,-1.6270589701322729,0.10374167560449477,1.0,0.1329646828170285
ens_mean,stack_phase,18432,-20.187927858235714,-1.4591991194976057,0.1445273530410928,1.0,0.18266651564915895
ens_mean,patchtst,18424,12.75158402900748,1.4444795334746547,0.14862113916345374,1.0,0.18526744745033272
ens_mean,stack_phase_conformal,18432,-19.70486341179879,-1.4372580846213667,0.15066164979983643,1.0,0.18527310988898804
stack_phase,stack_phase_conformal,18432,0.4830644464369246,1.3256900283544015,0.18495882215301976,1.0,0.22441670421233065
ens_mean,stack_global,18432,-17.560632476078773,-1.2737964797831898,0.2027516156755463,1.0,0.24276838192729885
ens_median,patchtst,18424,-3.2033807248060135,-1.17691497524117,0.23924464954307542,1.0,0.2827436767327255
ml,seasonal_naive,18424,60.42565720396965,1.1144635493517778,0.26509491195990487,1.0,0.3092773972865557
ens_mean,tft,18424,9.121218797559,1.0863381835179948,0.27734361306322464,1.0,0.31947175681966383
ens_perf,stack_global,18432,3.6152940159071343,0.9321379283220165,0.3512774588486678,1.0,0.3995781094403596
mist_v2,stack_global,18026,9.171541964327817,0.6537288890283701,0.5132948270144266,1.0,0.5766645587446028
mist_v2,stack_phase_conformal,18026,6.919492265265205,0.4976569037422382,0.6187319594975689,1.0,0.6866415648082776
mist_v2,stack_phase,18026,6.424959311368942,0.45786950778350866,0.6470517140824552,1.0,0.7094181443554629
persistence,stack_global,18424,5.726942722024073,0.44377288905676776,0.6572120029683557,1.0,0.7119796698823853
ens_perf,mist_v2,18026,-5.462879615977549,-0.38665213946287447,0.6990183168247185,1.0,0.7469268078809863
ens_perf,stack_phase_conformal,18432,1.4710630801871096,0.37739170813224243,0.705886873382031,1.0,0.7469268078809863
mist_v2,persistence,18018,3.33088098093138,0.33223665963191185,0.7397144289902404,1.0,0.7737242877943894
persistence,stack_phase_conformal,18424,3.5821903715161536,0.28089400173025764,0.7787948557742452,1.0,0.8053446804029126
ens_perf,stack_phase,18432,0.9879986337501848,0.2530698495313761,0.800217059658139,1.0,0.8181994654931535
persistence,stack_phase,18424,3.098506525545722,0.24029800855543573,0.8101019124071456,1.0,0.819103044767225
ens_perf,persistence,18424,-2.1100788867439753,-0.1601767326533655,0.8727436134753499,1.0,0.8727436134753499
