vs,mean_wis_diff,cohens_d,ci_low,ci_high,p,n
arima,-0.9139099520741814,-0.000989681717656645,-36.056777144557536,34.22895724040918,0.9593739184843137,6043
patchtst,5.649877767447395,0.006667559818761621,-28.806792480415275,40.10654801531006,0.7480729288271449,6043
tft,7.598862415313505,0.009294401355411354,-26.15873043235841,41.35645526298542,0.6592706867142393,6043
