vs,mean_wis_diff,cohens_d,ci_low,ci_high,p,n
seir,-53.554554861762114,-0.17403765690529033,-79.6562697740622,-27.452839949462025,6.227148410615284e-05,1789
patchtst,-18.45576733847157,-0.07735640398562818,-37.12336405597638,0.21182937903324373,0.05327471044756227,1789
tft,-13.569022627506964,-0.07372701485373875,-27.504032660719133,0.3659874057052068,0.0569678361243749,1789
arima,-10.407406265802699,-0.06540446047480027,-21.036015503434083,0.22120297182868498,0.055594037775082414,1789
mist_no_blend,-7.87374270281426,-0.10502446440810119,-13.462744086872918,-2.284741318755602,0.005913735746158789,1789
mist_no_analogue,-4.186310880856425,-0.12261624481397032,-6.726409963342242,-1.6462117983706084,0.0012872132238453463,1789
mist_no_mech,-2.9376747271237007,-0.07742014009459569,-5.051288831199699,-0.824060623047703,0.0066144585476955306,1789
mist_no_aci,-2.4912497553539588,-0.03973666518022983,-7.475275619757789,2.4927761090498715,0.32831385846512107,1789
