focal,vs,mean_wis_diff,ci_low,ci_high,p_boot,focal_better
ens_trimmed,ml,-171.15832620926628,-291.37567996058146,-76.27750211275047,0.0,True
ens_trimmed,seasonal_naive,-110.73266900529664,-134.63663220741,-87.65748223802652,0.0,True
ens_trimmed,arima,-79.56070604037134,-109.76432018349122,-56.09612923518822,0.0,True
ens_trimmed,mist_v2,-46.84785282260698,-68.82614780736343,-30.800685256728816,0.0,True
ens_trimmed,persistence,-42.66682234923194,-51.73782126740452,-33.916819996413814,0.0,True
ens_trimmed,ens_perf,-40.53914070924904,-68.73196623696609,-19.163777265404132,0.0,True
ens_trimmed,stack_phase,-39.55114207549885,-66.73249681112232,-18.798318492685667,0.0,True
ens_trimmed,stack_phase_conformal,-39.06807762906193,-65.63642982945628,-19.040233823163373,0.0,True
ens_trimmed,stack_global,-36.92384669334191,-64.20257929425756,-16.610861562513772,0.0,True
ens_trimmed,ens_mean,-19.363214217263135,-36.72493518925285,-5.589836185705506,0.0,True
ens_trimmed,tft,-10.250403241769819,-13.948400097451074,-6.821306716925359,0.0,True
ens_trimmed,patchtst,-6.620038010321332,-12.855555688206277,-1.102126488565987,0.02200000000000002,True
ens_trimmed,ens_median,-3.415174361346259,-5.246726437121932,-1.5710958653755775,0.0,True
