,arima,mist_no_aci,mist_no_analogue,mist_no_blend,mist_no_mech,mist_v2,patchtst,seir,tft
arima,,0.054684257612598534,0.5740879904825458,0.0009103808098485628,0.03244357787042482,0.43481108699498927,0.2952628181924124,0.003942462995067846,0.1735105152427182
mist_no_aci,0.054684257612598534,,0.013670255957354337,2.463839656511238e-07,0.007360496286084368,0.06515603421024657,0.0008010934057969564,1.0222028755894223e-05,1.7796672573435886e-05
mist_no_analogue,0.5740879904825458,0.013670255957354337,,0.00010011552596203993,0.006004756040133262,0.009491049317055472,0.5983272596469116,0.012682268454720308,0.48414408332700354
mist_no_blend,0.0009103808098485628,2.463839656511238e-07,0.00010011552596203993,,0.9288367072044079,1.0996014427781636e-07,0.09483489964409146,0.4102835821630263,0.02677570575632937
mist_no_mech,0.03244357787042482,0.007360496286084368,0.006004756040133262,0.9288367072044079,,0.0041082010941654356,0.3558730282235938,0.5957987853532279,0.30977674994317717
mist_v2,0.43481108699498927,0.06515603421024657,0.009491049317055472,1.0996014427781636e-07,0.0041082010941654356,,0.15527303354847272,0.002030056432244874,0.05599117495710102
patchtst,0.2952628181924124,0.0008010934057969564,0.5983272596469116,0.09483489964409146,0.3558730282235938,0.15527303354847272,,0.006359341870285121,0.8950786324373313
seir,0.003942462995067846,1.0222028755894223e-05,0.012682268454720308,0.4102835821630263,0.5957987853532279,0.002030056432244874,0.006359341870285121,,0.015171107789970658
tft,0.1735105152427182,1.7796672573435886e-05,0.48414408332700354,0.02677570575632937,0.30977674994317717,0.05599117495710102,0.8950786324373313,0.015171107789970658,
